acpi 1.7-3
acpi_call 1.1.0-330
acpid 2.0.32-2
adobe-source-han-serif-otc-fonts 1.001-3
alsa-utils 1.2.3-2
android-tools 30.0.0-2
android-udev 20200613-1
atom-editor-bin 1.48.0-1
autoconf 2.69-7
autojump 22.5.3-5
automake 1.16.2-3
awesome-freedesktop-git 105.6951b09-5
awesome-git 4.3.616.g9e3c418a-1
base 2-2
bdf-baekmuk-git 0.7.4020ae7-2
bdf-spleen 1.7.0-1
bdf-tewi-git 0.313.a975d38-1
binutils 2.34-5
bison 3.6.4-1
bitwarden-bin 1.19.0-1
blueman 2.1.3-1
bluez 5.54-2
bluez-utils 5.54-2
cava 0.7.1-1
cherry-font-git 1.0-2
cmatrix 2.0-2
dina-font 2.92-9
dunst 1.4.1-1
efibootmgr 17-1
engrampa 1.24.0-1
exa 0.9.0-1
exo 0.12.11-4
f2fs-tools 1.13.0-2
fakeroot 1.24-2
feh 3.4.1-1
file 5.39-1
findutils 4.7.0-2
firefox 78.0.1-1
firefox-nightly 79.0a1.20200629-1
flameshot 0.6.0-4
flex 2.6.4-3
font-manager-git 0.7.7.r4.g7d90827-1
fuse2 2.9.9-4
galculator 2.1.4-4
garcon 0.6.4-2
gawk 5.1.0-1
gcc 10.1.0-2
gconf 3.2.6+11+g07808097-6
geany 1.36-1
gettext 0.20.2-1
gimp 2.10.20-1
git 2.27.0-1
go 2:1.14.4-1
gotop-bin 4.0.0-1
gparted 1.1.0-1
gpick 0.2.6rc1-7
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
grub-customizer 5.1.0-1
gst-libav 1.16.2-2
gufw 20.04.1-1
gvfs 1.44.1-4
gvfs-mtp 1.44.1-4
gvim 8.2.0814-3
gzip 1.10-3
hblock 2.1.6-1
htop 2.2.0-3
intel-ucode 20200616-1
jq 1.6-2
kitty 0.18.1-1
kvantum-qt5 0.15.3-1
lain-git 1711.e0bffc0-1
leggie-git r35.05aeb28-1
libtool 2.4.6+42+gb88cebd5-13
light-git 1.2.2.r2.g33f2316-1
light-locker 1.9.0-2
light-locker-settings 1.5.3-1
lightdm 1:1.30.0-3
lightdm-gtk-greeter 1:2.0.8-1
lightdm-gtk-greeter-settings 1.2.2-4
lightdm-webkit-theme-aether 2.2.2-1
lightdm-webkit-theme-litarvan 3.1.0-1
lightdm-webkit2-greeter 2.2.5-2
linux 5.7.7.arch1-1
linux-firmware 20200519.8ba6fa6-1
lolcat 100.0.0-2
lxappearance-obconf 0.2.3-2
lxinput 0.3.5-2
